name,mass,mass_error_min,mass_error_max,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
109 Psc b,5.743,0.289,1.011,0.078,0.078,1.152,0.0
112 Psc b,0.033,0.005,0.004,0.005,0.004,0.67535,0.0
112 Psc c,9.866,1.781,3.19,0.0,0.0,0.67535,0.0
11 UMi b,11.0873,1.1,1.1,1.1,1.1,0.67535,0.0
14 And Ab,4.684,0.23,0.23,0.23,0.23,0.67535,0.0
14 Her b,8.9,1.7,1.3,0.0,0.0,0.67535,0.0
14 Her c,7.9,1.2,1.6,0.0,0.0,0.67535,0.0
16 Cyg Bb,1.64,0.08,0.08,0.08,0.08,0.67535,0.0
18 Del Ab,10.3,0.36,0.36,0.36,0.36,0.67535,0.0
23 Lib b,1.59,0.02,0.02,0.02,0.02,0.67535,0.0
23 Lib c,0.82,0.03,0.03,0.03,0.03,0.67535,0.0
24 Boo b,0.91,0.11,0.11,0.11,0.11,0.67535,0.0
24 Sex b,1.84,0.11,0.11,0.11,0.11,0.67535,0.0
24 Sex c,1.52,0.2,0.2,0.2,0.2,0.67535,0.0
2M 1253+2734 b,8.3,0.2,1.8,0.2,1.8,0.67535,0.0
2M1510 (AB)b,0.031,0.0,0.0,0.0,0.0,0.67535,0.0
2MASS J0437+2651 b,4.0,0.0,0.0,0.0,0.0,0.67535,0.0
2MASS J0558-4501 b,9.0,3.0,3.0,0.0,0.0,0.67535,0.0
2MASS J1155-7919 b,10.0,0.0,0.0,0.0,0.0,0.67535,0.0
2MASS J1252+2735 b,6.88,0.64,0.21,0.64,0.21,0.67535,0.0
2MASS J1258+2630 b,3.4,0.18,0.31,0.18,0.31,0.67535,0.0
2MASS J2236+4751 b,12.5,1.5,1.5,0.0,0.0,0.67535,0.0
38 Vir b,4.51,0.5,0.5,0.5,0.5,0.67535,0.0
41 Com Ab,6.3,1.0,1.0,1.0,1.0,0.67535,0.0
44 Uma b,12.11,0.85,0.2,0.85,0.2,0.67535,0.0
47 UMa b,2.53,0.06,0.07,0.06,0.07,0.67535,0.0
47 UMa c,0.54,0.073,0.066,0.073,0.066,0.67535,0.0
47 UMa d,1.64,0.48,0.29,0.48,0.29,0.67535,0.0
51 Eri Ab,4.1,0.5,0.5,0.0,0.0,1.11,0.13
51 Peg b,0.47,0.07,0.03,0.06,0.01,1.9,0.3
54 Psc b,0.23,0.013,0.297,0.011,0.011,0.67535,0.0
55 Cnc Ab,0.84,0.031,0.23,0.031,0.131,0.67535,0.0
55 Cnc Ac,0.1784,0.0078,0.0275,0.0078,0.0275,0.67535,0.0
55 Cnc Ad,3.84,0.08,0.08,0.08,0.08,0.67535,0.0
55 Cnc Ae,0.02703,0.00135,0.00135,0.0,0.0,0.1737,0.00339
55 Cnc Af,0.1479,0.0093,0.0219,0.0093,0.0219,0.67535,0.0
61 Vir b,0.016,0.0016,0.0016,0.0016,0.0016,0.67535,0.0
61 Vir c,0.0573,0.0035,0.0035,0.0035,0.0035,0.67535,0.0
61 Vir d,0.072,0.008,0.008,0.008,0.008,0.67535,0.0
6 Lyn b,2.01,0.077,0.077,0.077,0.077,0.67535,0.0
70 Vir Ab,6.6,0.0,0.0,0.0,0.0,0.67535,0.0
75 Cet Ab,2.48,0.09,0.07,0.09,0.07,0.67535,0.0
75 Cet Ac,0.91,0.09,0.09,0.09,0.09,0.67535,0.0
79 Cet Ab,0.215,0.03,0.03,0.03,0.03,0.67535,0.0
81 Cet b,5.3,0.0,0.0,0.0,0.0,0.67535,0.0
82 Eri b,0.00676,0.00053,0.00053,0.00053,0.00053,0.67535,0.0
82 Eri c,0.00793,0.0025,0.0016,0.0025,0.0016,0.67535,0.0
82 Eri d,0.01831,0.00179,0.00179,0.00179,0.00179,0.67535,0.0
82 Eri e,0.01501,0.00271,0.00302,0.00271,0.00302,0.67535,0.0
8 Umi b,1.65,0.06,0.06,0.06,0.06,0.67535,0.0
94 Cet Ab,1.37,0.12,0.12,0.12,0.12,0.67535,0.0
AB Aur b,9.0,15.0,17.0,0.0,0.0,0.67535,0.0
AB Pic c,5.75,3.25,3.25,0.0,0.0,0.67535,0.0
AF Lep b,3.75,0.5,0.5,0.0,0.0,1.3,0.15
alf Ari b,1.8,0.2,0.2,0.2,0.2,0.67535,0.0
AT2021uey b,1.34,0.5,0.45,0.0,0.0,0.67535,0.0
AU Mic b,0.028,0.0084,0.0082,0.0,0.0,0.4273,0.027
AU Mic c,0.0456,0.0107,0.0107,0.0,0.0,0.2248,0.0223
AU Mic d,0.003187,0.000459,0.000459,0.0,0.0,0.67535,0.0
Barnard's star b,0.000941,8.2e-05,8.2e-05,8.2e-05,8.2e-05,0.67535,0.0
Barnard's star c,0.001054,9e-05,9e-05,9e-05,9e-05,0.67535,0.0
Barnard's star d,0.000827,7.6e-05,7.6e-05,7.6e-05,7.6e-05,0.67535,0.0
Barnard's star e,0.0006,9e-05,9e-05,9e-05,9e-05,0.67535,0.0
b Cen (AB)b,10.9,1.6,1.6,0.0,0.0,0.67535,0.0
BD+03 2562 b,6.4,1.3,1.3,1.3,1.3,0.67535,0.0
BD-06 1339 c,0.17,0.03,0.03,0.03,0.03,0.67535,0.0
BD-06 1339 d,0.0582,0.0296,0.0365,0.0296,0.0365,0.67535,0.0
BD-06 1339 e,0.0104,0.0044,0.0047,0.0044,0.0047,0.67535,0.0
BD-08 2823 b,0.045,0.007,0.007,0.007,0.007,0.67535,0.0
BD-08 2823 c,0.33,0.03,0.03,0.03,0.03,0.67535,0.0
BD-10 3166 b,0.46,0.0,0.0,0.0,0.0,1.03,0.0
BD-11 4672 b,0.65,0.05,0.05,0.05,0.05,0.67535,0.0
BD-11 4672 c,0.04836,0.0066,0.009,0.0066,0.009,0.67535,0.0
BD+14 4559 b,1.47,0.0,0.0,0.0,0.0,0.67535,0.0
BD+15 2375 b,1.06,0.27,0.27,0.27,0.27,0.67535,0.0
BD+15 2940 b,1.11,0.0,0.0,0.0,0.0,0.67535,0.0
BD-17 63 b,5.325,0.036,0.036,0.12,0.12,0.67535,0.0
BD+20 2457 c,12.47,0.0,0.0,0.0,0.0,0.67535,0.0
BD+20 274 b,4.2,0.0,0.0,0.0,0.0,0.67535,0.0
BD+20 594 b,0.07,0.03,0.03,0.019,0.019,0.23,0.01
BD-21 397 c,4.8,0.6,0.6,0.0,0.0,0.67535,0.0
BD+45 564 b,1.36,0.12,0.12,0.12,0.12,0.67535,0.0
BD+48 738 b,0.91,0.0,0.0,0.0,0.0,0.67535,0.0
BD+48 740 b,1.7,0.7,0.7,0.7,0.7,0.67535,0.0
BD+49 828 b,1.6,0.2,0.4,0.2,0.4,0.67535,0.0
BD+55 362 b,0.72,0.08,0.08,0.08,0.08,0.67535,0.0
BD+63 1405 Ab,3.96,0.31,0.31,0.31,0.31,0.67535,0.0
BEBOP-3 (AB)b,0.558,0.048,0.051,0.048,0.051,0.67535,0.0
beta Cnc Ab,7.8,0.8,0.8,0.8,0.8,0.67535,0.0
beta Pic b,11.9,3.04,2.93,0.0,0.0,1.65,0.06
beta Pic c,8.89,0.75,0.75,0.5,0.5,1.2,0.1
